id,url,filename,original_filename,file_type,mime_type,file_size,file_hash,uploaded_at,uploaded_by,deleted_at,metadata
1,/uploads/1770760181048-c407bbb0.png,1770760181048-c407bbb0.png,灾难化.png,image,image/png,149763,3541888014265607623667c6e2cececf5aefc6d5d2956ffba34d14a4163168ee,2026-02-11 08:49:41.055688,,,{}
2,/uploads/1770760184983-9951e79c.jpg,1770760184983-9951e79c.jpg,洞察深度.gif,image,image/gif,99310,aee84266add992e4da23c0b89f2b8401fadcefebc758306c2e54a1807de6cbbf,2026-02-11 08:49:44.987295,,,{}
3,/uploads/1770760188849-b3035715.png,1770760188849-b3035715.png,非黑即白.png,image,image/png,92537,e42d6b47d60fef968c276a2cabe9ee210fce40e32b90d4d7cf40d015bda2ba70,2026-02-11 08:49:48.854016,,,{}
4,/uploads/1770760197957-1861541a.png,1770760197957-1861541a.png,Picture1.png,image,image/png,441887,ee10011b5a6b3607cf191f8f4c9708ca9a46f397a533e319aba0906e2456eb6c,2026-02-11 08:49:57.963196,,,{}
5,/uploads/1770760201598-6d7537f4.jpg,1770760201598-6d7537f4.jpg,Picture2.jpg,image,image/jpeg,70591,52d77b2b8da6c0b456fc2a21787357f8b897ba18c785ee7f8ddd8da62fc436f8,2026-02-11 08:50:01.599506,,,{}
6,/uploads/1770760207785-b6c2cd2b.jpg,1770760207785-b6c2cd2b.jpg,Picture3.jpg,image,image/jpeg,98628,300e0ea75d01668edf793cff97bb33eff48308ff8666f9a7154b99e72b24a047,2026-02-11 08:50:07.788238,,,{}
7,/uploads/1770760212567-40f5aebb.jpg,1770760212567-40f5aebb.jpg,Picture4.jpg,image,image/jpeg,51371,cdfbc5174ed03376214832f24a9252027d1d771625fbfe1a138dc1b28995b7ef,2026-02-11 08:50:12.569773,,,{}
8,/uploads/1770760216707-761ce840.jpg,1770760216707-761ce840.jpg,Picture5.jpg,image,image/jpeg,55666,c1a68fe730856ce96599ffac170128d8f5f3e184ddde8bb1be89d00f7eca062d,2026-02-11 08:50:16.709307,,,{}
9,/uploads/1770760588958-6f50b72b.jpg,1770760588958-6f50b72b.jpg,resillience.gif,image,image/gif,100423,127e128b99d89797edbae523a674febefc0fd5e4dd32bff93c76e3bdbbf68e8d,2026-02-11 08:56:28.964007,,,{}
10,/uploads/1770761377033-f5da83d1.png,1770761377033-f5da83d1.png,Screenshot 2026-02-11 at 20.09.20.png,image,image/png,158968,4d4078f2d29fb4410983087dea180d46cdbc3bed364fe60ca12579c9439d8cbe,2026-02-11 09:09:37.037264,,,{}
